,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Audio/Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Audio/Video URL
0,Metropolitan Transportation Commission,12/18/2019,,9:45 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734679&GUID=38D6D21E-8B96-4E7E-83B1-72FC4D09972F,,,,,,
1,Bay Area Headquarters Authority,12/18/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734676&GUID=A4334087-3C7C-4878-8B73-79624122D0F6,,,,,,
2,Bay Area Toll Authority,12/18/2019,,9:35 AM,Board Room – 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734675&GUID=90026649-6975-4F44-AC60-31FE56FC2E12,,,,,,
3,Bay Area Infrastructure Financing Authority,12/18/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734674&GUID=8BD7AD40-99E2-4C78-95FC-B166FD5075AA,,,,,,
4,Programming and Allocations Committee,12/11/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732921&GUID=7647B594-C270-4E08-9195-0DF1D6D323D4,,,,,,
5,Administration Committee,12/11/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732920&GUID=51D310FF-5AFC-4F69-8EDE-A4BE2562B509,,,,,,
6,Bay Area Toll Authority Oversight Committee,12/11/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732919&GUID=33D5EF91-184B-456A-AE2C-4F77A84DF4E9,,,,,,
7,ABAG Regional Planning Committee,12/4/2019,,1:00 PM,Yerba Buena - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724249&GUID=79887EAC-75A3-4F32-9AFC-B00D56AED8FB,,,,,,
8,ABAG Executive Board,11/21/2019,,7:00 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721143&GUID=83D1BCFE-27AF-4DBE-85BC-A90D7F59FF17,,,,,,
9,ABAG ACFA Governing Board,11/21/2019,,5:10 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721152&GUID=48064276-E7B6-4F15-A314-1689DDB28725,,,,,,
10,ABAG Finance Committee,11/21/2019,,5:05 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721151&GUID=DAA0A956-522E-413E-9C4B-787F53BB9853,,,,,,
11,ABAG Legislation Committee,11/21/2019,,5:00 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721144&GUID=80A2D263-FD62-4548-AE6B-E2336BFDEAB9,,,,,,
12,Joint ABAG MTC Governance Committee,11/20/2019,,11:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=734437&GUID=1CB165F9-B1B9-41C0-8CF7-F6043D019627,,,,,,
13,Metropolitan Transportation Commission,11/20/2019,,9:45 AM,Yerba Buena Conference Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724845&GUID=D259A548-E81F-4680-B488-C6FFA8C1DCEC,,,,,,
14,Bay Area Infrastructure Financing Authority,11/20/2019,,9:40 AM,Yerba Buena Conference Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724844&GUID=1F2D39E9-EFCD-4DA2-92ED-327FCB5B6767,,,,,,
15,Bay Area Headquarters Authority,11/20/2019,,9:35 AM,Yerba Buena Conference Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724843&GUID=025E06DF-ED9A-41BD-AB62-540D7EF3E5E5,,,,,,
16,Bay Area Toll Authority,11/20/2019,,9:30 AM,Yerba Buena Conference Room – 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724842&GUID=EA19655D-3966-4150-A657-18A7364747C1,,,,,,
17,Clipper Executive Board,11/18/2019,,1:30 PM,"San Francisco Bay Area Rapid Transit District
344 20th Street, 3rd Floor
Oakland, CA 94612
BART Board Room",Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732505&GUID=CC862F05-2C2E-464A-B26E-D31983069A49,,,,,,
18,Partnership Technical Advisory Committee,11/18/2019,,1:30 PM,Yerba Buena – 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=733713&GUID=A537CFCA-58D6-4C6A-85DA-35AD390A32B9,,,,,,
19,Bay Area Regional Collaborative,11/15/2019,,10:00 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721153&GUID=3313FA1E-E46A-45BB-98F7-6EC89C5526B4,,,,,,
20,ABAG Housing Methodology Committee,11/14/2019,,10:00 AM,"1111 Broadway, Suite 800, Oakland",Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=732758&GUID=E3BE8692-699E-47E3-93D4-9E3A448D617F,,,,,,
21,Policy Advisory Council,11/13/2019,,1:30 PM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=726449&GUID=CFC078FE-DE2A-4C74-B64D-F8A4399E8884,,,,,,
22,Programming and Allocations Committee,11/13/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=723654&GUID=89A263C2-BE78-4613-B83F-D46F1BB01E58,,,,,,
23,Administration Committee,11/13/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=723653&GUID=FDF85F1A-66CE-48AA-A1C3-F06C069C0D67,,,,,,
24,Bay Area Toll Authority Oversight Committee,11/13/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=723652&GUID=C4696FBB-4410-416C-B0DB-F4B55E942CF5,,,,,,
25,Joint MTC Legislation Committee and ABAG Legislation Committee,11/8/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724247&GUID=C2E62E5D-5774-44C8-AA9F-DFE6FFDA8C16,,,,,,
26,ABAG Legislation Committee,11/8/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=726918&GUID=41BA2613-16EA-4028-B1B9-68915E09395E,,,,,,
27,Joint MTC Planning Committee with the ABAG Administrative Committee,11/8/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724244&GUID=2660C0DD-19F1-4FDB-B85C-77A6099A7DAF,,,,,,
28,ABAG Administrative Committee,11/8/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=726917&GUID=5A1F9578-F896-4DD9-A90A-93DE31DD3E5D,,,,,,
29,Operations Committee,11/8/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724242&GUID=130D7CE8-CA51-4F55-9442-46CBE3859553,,,,,,
30,ABAG FAN Executive Committee,11/7/2019,,10:00 AM,Golden Gate CR 8102,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=714486&GUID=2ACE32CA-E9D3-4F65-B6D6-59E31EC3E677,,,,,,
31,ABAG RPC Housing Subcommittee,11/6/2019,,10:00 AM,Mt. Tamalpais - CR 7102,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724250&GUID=DF8396C7-F1AC-46E7-958C-7F06CA8D25C8,,,,,,
32,Regional Advisory Working Group,11/5/2019,,9:30 AM,Yerba Buena - 1st Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724231&GUID=7575B4B0-7E52-475E-86F0-9EC2B2E2283C,,,,,,
33,ABAG San Francisco Bay Trail Board of Directors,11/1/2019,,12:00 PM,TBD,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718508&GUID=166F18D1-0E96-4F93-A75B-4E9D338F23A0,,,,,,
34,ABAG POWER Board of Directors,10/30/2019,,10:30 AM,Yerba Buena – 1st Floor,Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718450&GUID=25975FEB-3660-48B0-B280-907DF54F299B,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718450&GUID=25975FEB-3660-48B0-B280-907DF54F299B&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718450&GUID=25975FEB-3660-48B0-B280-907DF54F299B,,
35,Bay Area Partnership Board,10/25/2019,,9:00 AM,Yerba Buena – 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=724698&GUID=CFE64FCE-3CB9-4BF7-A07D-FCDA74BB57DF,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=724698&GUID=CFE64FCE-3CB9-4BF7-A07D-FCDA74BB57DF&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=724698&GUID=CFE64FCE-3CB9-4BF7-A07D-FCDA74BB57DF,,https://mtc.legistar.com/#
36,Metropolitan Transportation Commission,10/23/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721912&GUID=60F1EAEB-BA8F-45C2-91D3-2CA7AA927208,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=721912&GUID=60F1EAEB-BA8F-45C2-91D3-2CA7AA927208&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=721912&GUID=60F1EAEB-BA8F-45C2-91D3-2CA7AA927208,,https://mtc.legistar.com/#
37,Bay Area Infrastructure Financing Authority,10/23/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721911&GUID=99C29423-2916-49F8-B0E9-00FFA8EBDE3B,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=721911&GUID=99C29423-2916-49F8-B0E9-00FFA8EBDE3B&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=721911&GUID=99C29423-2916-49F8-B0E9-00FFA8EBDE3B,,https://mtc.legistar.com/#
38,Bay Area Toll Authority,10/23/2019,,9:30 AM,Board Room – 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721907&GUID=601DA512-1B14-4909-8B49-C04650282524,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=721907&GUID=601DA512-1B14-4909-8B49-C04650282524&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=721907&GUID=601DA512-1B14-4909-8B49-C04650282524,,https://mtc.legistar.com/#
39,MTC Audit Committee,10/23/2019,,9:00 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=721913&GUID=8BF145B7-1AC4-4395-AFE1-CBC8012A000D,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=721913&GUID=8BF145B7-1AC4-4395-AFE1-CBC8012A000D&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=721913&GUID=8BF145B7-1AC4-4395-AFE1-CBC8012A000D,,https://mtc.legistar.com/#
40,Partnership Technical Advisory Committee,10/21/2019,,1:30 PM,Yerba Buena - First Floor,Meeting details,Not available,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=722327&GUID=436D53FC-D5D4-49C7-823B-589F5036F085,,,,,,
41,ABAG Housing Methodology Committee,10/18/2019,,10:00 AM,Yerba Buena - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=723359&GUID=BF1CE0B8-1474-4A11-A912-F6B9C497384B,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=723359&GUID=BF1CE0B8-1474-4A11-A912-F6B9C497384B&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=723359&GUID=BF1CE0B8-1474-4A11-A912-F6B9C497384B,,https://mtc.legistar.com/#
42,Joint MTC Planning Committee with the ABAG Administrative Committee,10/11/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=719101&GUID=9769C50B-0FD6-4022-87B9-53C40EF285CA,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=719101&GUID=9769C50B-0FD6-4022-87B9-53C40EF285CA&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=719101&GUID=9769C50B-0FD6-4022-87B9-53C40EF285CA,,https://mtc.legistar.com/#
43,ABAG Administrative Committee,10/11/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=720132&GUID=AB567648-C8A8-40A4-8E8D-2D1D23AA8476,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=720132&GUID=AB567648-C8A8-40A4-8E8D-2D1D23AA8476&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=720132&GUID=AB567648-C8A8-40A4-8E8D-2D1D23AA8476,,https://mtc.legistar.com/#
44,Legislation Committee,10/11/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718702&GUID=5E843228-D475-48E8-97D8-C8BDD89C70A2,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718702&GUID=5E843228-D475-48E8-97D8-C8BDD89C70A2&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718702&GUID=5E843228-D475-48E8-97D8-C8BDD89C70A2,,https://mtc.legistar.com/#
45,Operations Committee,10/11/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718698&GUID=860BD2B2-0DBE-49CC-ADE6-AD5220453DE6,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718698&GUID=860BD2B2-0DBE-49CC-ADE6-AD5220453DE6&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718698&GUID=860BD2B2-0DBE-49CC-ADE6-AD5220453DE6,,https://mtc.legistar.com/#
46,Executive Committee,10/11/2019,,9:00 AM,Board Room – 1st Floor,Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=722307&GUID=A16021AD-41AC-4535-91F0-C6CD64574CF0,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=722307&GUID=A16021AD-41AC-4535-91F0-C6CD64574CF0&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=722307&GUID=A16021AD-41AC-4535-91F0-C6CD64574CF0,,
47,Policy Advisory Council,10/9/2019,,1:30 PM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718690&GUID=A366DE64-C1B3-427A-9225-102A6437D8B8,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718690&GUID=A366DE64-C1B3-427A-9225-102A6437D8B8&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718690&GUID=A366DE64-C1B3-427A-9225-102A6437D8B8,,https://mtc.legistar.com/#
48,Policy Advisory Council Equity & Access Subcommittee,10/9/2019,,11:30 AM,Ohlone - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=722287&GUID=1ADEF385-3FA5-4280-930D-2DAB2C4A1F61,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=722287&GUID=1ADEF385-3FA5-4280-930D-2DAB2C4A1F61&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=722287&GUID=1ADEF385-3FA5-4280-930D-2DAB2C4A1F61,,https://mtc.legistar.com/#
49,Programming and Allocations Committee,10/9/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718013&GUID=39823E84-56BB-45B8-8F3D-F7659852E316,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718013&GUID=39823E84-56BB-45B8-8F3D-F7659852E316&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718013&GUID=39823E84-56BB-45B8-8F3D-F7659852E316,,https://mtc.legistar.com/#
50,Administration Committee,10/9/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718012&GUID=33E977F1-D899-495E-B8B5-E0BF1AACE945,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718012&GUID=33E977F1-D899-495E-B8B5-E0BF1AACE945&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718012&GUID=33E977F1-D899-495E-B8B5-E0BF1AACE945,,https://mtc.legistar.com/#
51,Bay Area Toll Authority Oversight Committee,10/9/2019,,9:30 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=718011&GUID=2C513DC0-B593-465D-9CFA-B144DBD9BB05,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=718011&GUID=2C513DC0-B593-465D-9CFA-B144DBD9BB05&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=718011&GUID=2C513DC0-B593-465D-9CFA-B144DBD9BB05,,https://mtc.legistar.com/#
52,Regional Advisory Working Group,10/8/2019,,9:30 AM,Yerba Buena - 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F,https://mtc.legistar.com/View.ashx?M=M&ID=716647&GUID=283C93B4-9128-415A-A33E-DEB3875B700F,https://mtc.legistar.com/#
53,ABAG Regional Planning Committee,10/2/2019,,1:00 PM,Yerba Buena - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=714482&GUID=6D170471-8E1C-4214-8924-B1158283A8DB,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=714482&GUID=6D170471-8E1C-4214-8924-B1158283A8DB&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=714482&GUID=6D170471-8E1C-4214-8924-B1158283A8DB,,https://mtc.legistar.com/#
54,ABAG RPC Housing Subcommittee,10/2/2019,,11:00 AM,Mt. Tamalpais CR 7102,Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=723246&GUID=AB8F5750-AC72-467D-A7B4-1C2633CFEFFA,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=723246&GUID=AB8F5750-AC72-467D-A7B4-1C2633CFEFFA&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=723246&GUID=AB8F5750-AC72-467D-A7B4-1C2633CFEFFA,,
55,Joint ABAG MTC Governance Committee,9/25/2019,,11:00 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=715509&GUID=5B7F100B-7078-47F5-BAFB-0EE174A80C10,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=715509&GUID=5B7F100B-7078-47F5-BAFB-0EE174A80C10&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=715509&GUID=5B7F100B-7078-47F5-BAFB-0EE174A80C10,,https://mtc.legistar.com/#
56,Metropolitan Transportation Commission,9/25/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78,https://mtc.legistar.com/View.ashx?M=M&ID=716030&GUID=CA47EB1F-D13F-4EEA-BF0C-FA2C837EBD78,https://mtc.legistar.com/#
57,Bay Area Toll Authority,9/25/2019,,9:30 AM,Board Room – 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA,https://mtc.legistar.com/View.ashx?M=M&ID=716027&GUID=7B137337-2A46-4A04-927E-419BD49F20AA,https://mtc.legistar.com/#
58,Bay Area Regional Collaborative,9/20/2019,,10:00 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=712416&GUID=42FC1E6A-A757-4428-9F66-F00EC4F7A3CE,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=712416&GUID=42FC1E6A-A757-4428-9F66-F00EC4F7A3CE&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=712416&GUID=42FC1E6A-A757-4428-9F66-F00EC4F7A3CE,,https://mtc.legistar.com/#
59,ABAG Executive Board,9/19/2019,,7:00 PM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=712413&GUID=C944EE8B-6FEB-4E16-9E24-B37DB2999AEB,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=712413&GUID=C944EE8B-6FEB-4E16-9E24-B37DB2999AEB&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=712413&GUID=C944EE8B-6FEB-4E16-9E24-B37DB2999AEB,,https://mtc.legistar.com/#
60,ABAG Finance Committee,9/19/2019,,5:30 PM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=712434&GUID=89FE0959-3F88-4E0E-AA84-1505E4B47226,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=712434&GUID=89FE0959-3F88-4E0E-AA84-1505E4B47226&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=712434&GUID=89FE0959-3F88-4E0E-AA84-1505E4B47226,,https://mtc.legistar.com/#
61,Regional Equity Working Group,9/18/2019,,2:00 PM,Yerba Buena - 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804,https://mtc.legistar.com/View.ashx?M=M&ID=720184&GUID=802B52C0-E056-45C1-89AD-F87B05568804,https://mtc.legistar.com/#
62,Clipper Executive Board,9/16/2019,,1:30 PM,"Caltrain / SamTrans
1250 San Carlos Ave, 2nd Floor
San Carlos CA, 94070
Caltrain / SamTrans Auditorium",Meeting details,Agenda,Not available,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=715505&GUID=818C2616-AE87-4D8A-ABF9-E28354818CB7,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=715505&GUID=818C2616-AE87-4D8A-ABF9-E28354818CB7&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=715505&GUID=818C2616-AE87-4D8A-ABF9-E28354818CB7,,https://mtc.legistar.com/#
63,ABAG Legislation Committee,9/13/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Not available,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=712414&GUID=5DCA0839-5686-412A-B37F-DCD225D0D569,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=712414&GUID=5DCA0839-5686-412A-B37F-DCD225D0D569&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=712414&GUID=5DCA0839-5686-412A-B37F-DCD225D0D569,,
64,Joint MTC Legislation Committee and ABAG Legislation Committee,9/13/2019,,9:40 AM,Board Room - 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8,https://mtc.legistar.com/View.ashx?M=M&ID=713792&GUID=6D47B440-17E5-44BF-81EF-B48F96CB85A8,https://mtc.legistar.com/#
65,ABAG Administrative Committee,9/13/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Minutes,Not available,,,https://mtc.legistar.com/View.ashx?M=IC&ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E,https://mtc.legistar.com/View.ashx?M=M&ID=713596&GUID=663920EC-69E6-4847-85DB-B8FAB49C820E,
66,Joint MTC Planning Committee with the ABAG Administrative Committee,9/13/2019,,9:35 AM,Board Room - 1st Floor,Meeting details,Agenda,Minutes,Media,,,https://mtc.legistar.com/View.ashx?M=IC&ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52,,,https://mtc.legistar.com/MeetingDetail.aspx?ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52&Options=info&Search=,https://mtc.legistar.com/View.ashx?M=A&ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52,https://mtc.legistar.com/View.ashx?M=M&ID=713764&GUID=52742BD2-144B-46B8-BC6E-96C5EF2CBF52,https://mtc.legistar.com/#
