,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Audio Text,Transcript Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL,Audio URL,Transcript URL
10,Rules Committee,10/21/2019,,11:00 AM,"City Hall, Committee Room 263Rescheduled Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4,https://sfgov.legistar.com/View.ashx?M=M&ID=726475&GUID=588BBFDB-1DCF-4EE2-9551-E4A3404000F4,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
11,Public Safety and Neighborhood Services Committee,10/18/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Special Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=725266&GUID=8A36A89E-0CF6-438D-B218-9C50475E30DD,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=725266&GUID=8A36A89E-0CF6-438D-B218-9C50475E30DD&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=725266&GUID=8A36A89E-0CF6-438D-B218-9C50475E30DD,https://sfgov.legistar.com/View.ashx?M=M&ID=725266&GUID=8A36A89E-0CF6-438D-B218-9C50475E30DD,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
12,Government Audit and Oversight Committee,10/17/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=725096&GUID=98CD0158-ECB0-4635-A182-7C422437BBA9,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=725096&GUID=98CD0158-ECB0-4635-A182-7C422437BBA9&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=725096&GUID=98CD0158-ECB0-4635-A182-7C422437BBA9,https://sfgov.legistar.com/View.ashx?M=M&ID=725096&GUID=98CD0158-ECB0-4635-A182-7C422437BBA9,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
13,Budget and Finance Committee,10/16/2019,,9:30 AM,"City Hall, Legislative Chamber, Room 250Rescheduled Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=725851&GUID=655817E5-4F9A-4C7E-9203-A03E480F65AA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=725851&GUID=655817E5-4F9A-4C7E-9203-A03E480F65AA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=725851&GUID=655817E5-4F9A-4C7E-9203-A03E480F65AA,https://sfgov.legistar.com/View.ashx?M=M&ID=725851&GUID=655817E5-4F9A-4C7E-9203-A03E480F65AA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
14,Budget and Finance Committee,10/9/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=724176&GUID=9D56CC71-93BF-40D0-9604-BA2DDB80F19B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=724176&GUID=9D56CC71-93BF-40D0-9604-BA2DDB80F19B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=724176&GUID=9D56CC71-93BF-40D0-9604-BA2DDB80F19B,https://sfgov.legistar.com/View.ashx?M=M&ID=724176&GUID=9D56CC71-93BF-40D0-9604-BA2DDB80F19B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
15,Board of Supervisors,10/8/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=724390&GUID=95CAA9EC-4193-4317-A6FD-E8AC8E4186D0,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=724390&GUID=95CAA9EC-4193-4317-A6FD-E8AC8E4186D0&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=724390&GUID=95CAA9EC-4193-4317-A6FD-E8AC8E4186D0,https://sfgov.legistar.com/View.ashx?M=M&ID=724390&GUID=95CAA9EC-4193-4317-A6FD-E8AC8E4186D0,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
16,Rules Committee,10/7/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=723932&GUID=39352AED-9F08-44CB-B3B1-9A17C2BCF518,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=723932&GUID=39352AED-9F08-44CB-B3B1-9A17C2BCF518&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=723932&GUID=39352AED-9F08-44CB-B3B1-9A17C2BCF518,https://sfgov.legistar.com/View.ashx?M=M&ID=723932&GUID=39352AED-9F08-44CB-B3B1-9A17C2BCF518,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
17,Government Audit and Oversight Committee,10/3/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=722678&GUID=318FBAB0-F5D2-4D7C-813B-9D3866F86B7F,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=722678&GUID=318FBAB0-F5D2-4D7C-813B-9D3866F86B7F&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=722678&GUID=318FBAB0-F5D2-4D7C-813B-9D3866F86B7F,https://sfgov.legistar.com/View.ashx?M=M&ID=722678&GUID=318FBAB0-F5D2-4D7C-813B-9D3866F86B7F,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
18,Budget and Finance Committee,10/2/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=723084&GUID=DE28401B-06CC-4651-8C3D-CCD0D6E89857,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=723084&GUID=DE28401B-06CC-4651-8C3D-CCD0D6E89857&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=723084&GUID=DE28401B-06CC-4651-8C3D-CCD0D6E89857,https://sfgov.legistar.com/View.ashx?M=M&ID=723084&GUID=DE28401B-06CC-4651-8C3D-CCD0D6E89857,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
19,Board of Supervisors,10/1/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=723244&GUID=76733A5F-BFA5-4EC5-8109-FAE65E25817B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=723244&GUID=76733A5F-BFA5-4EC5-8109-FAE65E25817B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=723244&GUID=76733A5F-BFA5-4EC5-8109-FAE65E25817B,https://sfgov.legistar.com/View.ashx?M=M&ID=723244&GUID=76733A5F-BFA5-4EC5-8109-FAE65E25817B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
20,Land Use and Transportation Committee,9/30/2019,,1:30 PM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=722526&GUID=7C3979D7-B74E-4168-998D-CFFB4E910FA5,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=722526&GUID=7C3979D7-B74E-4168-998D-CFFB4E910FA5&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=722526&GUID=7C3979D7-B74E-4168-998D-CFFB4E910FA5,https://sfgov.legistar.com/View.ashx?M=M&ID=722526&GUID=7C3979D7-B74E-4168-998D-CFFB4E910FA5,,,
21,Rules Committee,9/30/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=723036&GUID=AE452B90-52A9-43EF-AF1F-D0165EEBC9B2,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=723036&GUID=AE452B90-52A9-43EF-AF1F-D0165EEBC9B2&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=723036&GUID=AE452B90-52A9-43EF-AF1F-D0165EEBC9B2,https://sfgov.legistar.com/View.ashx?M=M&ID=723036&GUID=AE452B90-52A9-43EF-AF1F-D0165EEBC9B2,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
22,Public Safety and Neighborhood Services Committee,9/27/2019,,1:00 PM,"City Hall, Legislative Chamber, Room 250Special Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=721746&GUID=CD99A6DA-1C5E-4E6F-AB7E-DB317F3F01E9,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=721746&GUID=CD99A6DA-1C5E-4E6F-AB7E-DB317F3F01E9&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=721746&GUID=CD99A6DA-1C5E-4E6F-AB7E-DB317F3F01E9,https://sfgov.legistar.com/View.ashx?M=M&ID=721746&GUID=CD99A6DA-1C5E-4E6F-AB7E-DB317F3F01E9,,,
23,Public Safety and Neighborhood Services Committee,9/26/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Not available,Not available,Not available,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=721684&GUID=9E2DDF35-777E-4E06-9853-00289212D127,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=721684&GUID=9E2DDF35-777E-4E06-9853-00289212D127&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=721684&GUID=9E2DDF35-777E-4E06-9853-00289212D127,https://sfgov.legistar.com/View.ashx?M=M&ID=721684&GUID=9E2DDF35-777E-4E06-9853-00289212D127,,,
24,Budget and Finance Committee,9/25/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=722089&GUID=2F00DCD5-FA1C-4B90-9A6E-B626D4B0EC7B,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=722089&GUID=2F00DCD5-FA1C-4B90-9A6E-B626D4B0EC7B&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=722089&GUID=2F00DCD5-FA1C-4B90-9A6E-B626D4B0EC7B,https://sfgov.legistar.com/View.ashx?M=M&ID=722089&GUID=2F00DCD5-FA1C-4B90-9A6E-B626D4B0EC7B,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
25,Board of Supervisors,9/24/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=722175&GUID=A2C22617-E9A8-446D-834C-F49398EE9E07,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=722175&GUID=A2C22617-E9A8-446D-834C-F49398EE9E07&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=722175&GUID=A2C22617-E9A8-446D-834C-F49398EE9E07,https://sfgov.legistar.com/View.ashx?M=M&ID=722175&GUID=A2C22617-E9A8-446D-834C-F49398EE9E07,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
26,Land Use and Transportation Committee,9/23/2019,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=721472&GUID=6D554EC6-3132-41F3-B96E-1F9A5DE9B6BA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=721472&GUID=6D554EC6-3132-41F3-B96E-1F9A5DE9B6BA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=721472&GUID=6D554EC6-3132-41F3-B96E-1F9A5DE9B6BA,https://sfgov.legistar.com/View.ashx?M=M&ID=721472&GUID=6D554EC6-3132-41F3-B96E-1F9A5DE9B6BA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
27,Rules Committee,9/23/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=721915&GUID=BEF0CCBE-E1D6-4D2C-92EC-31DB17F6A2F8,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=721915&GUID=BEF0CCBE-E1D6-4D2C-92EC-31DB17F6A2F8&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=721915&GUID=BEF0CCBE-E1D6-4D2C-92EC-31DB17F6A2F8,https://sfgov.legistar.com/View.ashx?M=M&ID=721915&GUID=BEF0CCBE-E1D6-4D2C-92EC-31DB17F6A2F8,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
28,Government Audit and Oversight Committee,9/19/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=720187&GUID=C79A4802-2797-41C1-BD01-C84840DD5855,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=720187&GUID=C79A4802-2797-41C1-BD01-C84840DD5855&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=720187&GUID=C79A4802-2797-41C1-BD01-C84840DD5855,https://sfgov.legistar.com/View.ashx?M=M&ID=720187&GUID=C79A4802-2797-41C1-BD01-C84840DD5855,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
29,Budget and Finance Committee,9/18/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=720775&GUID=0414816B-894E-4B43-936A-EF7E7B5109CB,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=720775&GUID=0414816B-894E-4B43-936A-EF7E7B5109CB&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=720775&GUID=0414816B-894E-4B43-936A-EF7E7B5109CB,https://sfgov.legistar.com/View.ashx?M=M&ID=720775&GUID=0414816B-894E-4B43-936A-EF7E7B5109CB,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
30,Board of Supervisors,9/17/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=721049&GUID=D2C54E78-9F1C-448A-A5D8-9DCCBA547750,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=721049&GUID=D2C54E78-9F1C-448A-A5D8-9DCCBA547750&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=721049&GUID=D2C54E78-9F1C-448A-A5D8-9DCCBA547750,https://sfgov.legistar.com/View.ashx?M=M&ID=721049&GUID=D2C54E78-9F1C-448A-A5D8-9DCCBA547750,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
31,Land Use and Transportation Committee,9/16/2019,,1:30 PM,"City Hall, Legislative Chamber, Room 250Regular Agenda",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=720505&GUID=7291E908-A10B-441D-9101-220D40C68B54,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=720505&GUID=7291E908-A10B-441D-9101-220D40C68B54&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=720505&GUID=7291E908-A10B-441D-9101-220D40C68B54,https://sfgov.legistar.com/View.ashx?M=M&ID=720505&GUID=7291E908-A10B-441D-9101-220D40C68B54,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
32,Rules Committee,9/16/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=720856&GUID=AB26228A-7CD1-44EC-89C6-908504A704E5,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=720856&GUID=AB26228A-7CD1-44EC-89C6-908504A704E5&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=720856&GUID=AB26228A-7CD1-44EC-89C6-908504A704E5,https://sfgov.legistar.com/View.ashx?M=M&ID=720856&GUID=AB26228A-7CD1-44EC-89C6-908504A704E5,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
33,Public Safety and Neighborhood Services Committee,9/12/2019,,10:00 AM,"City Hall, Committee Room 263Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=719142&GUID=8CB9ED68-6E6A-4976-B6C4-5ADEA1103881,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=719142&GUID=8CB9ED68-6E6A-4976-B6C4-5ADEA1103881&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=719142&GUID=8CB9ED68-6E6A-4976-B6C4-5ADEA1103881,https://sfgov.legistar.com/View.ashx?M=M&ID=719142&GUID=8CB9ED68-6E6A-4976-B6C4-5ADEA1103881,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
34,Budget and Finance Committee,9/11/2019,,10:00 AM,"City Hall, Legislative Chamber, Room 250Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=719145&GUID=70363B43-32DA-48A8-88A2-F93243699B21,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=719145&GUID=70363B43-32DA-48A8-88A2-F93243699B21&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=719145&GUID=70363B43-32DA-48A8-88A2-F93243699B21,https://sfgov.legistar.com/View.ashx?M=M&ID=719145&GUID=70363B43-32DA-48A8-88A2-F93243699B21,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
35,Board of Supervisors,9/10/2019,,2:00 PM,"Legislative Chamber, Room 250
City Hall, 1 Dr. Carlton B. Goodlett Place
San Francisco, CA 94102-4689Regular Meeting",Meeting details,Agenda,Minutes,Video,AudioDownload,Transcript,,,https://sfgov.legistar.com/View.ashx?M=IC&ID=719850&GUID=5AF93ECE-B44F-4302-B1FF-0D24B4FACAEA,,,https://sfgov.legistar.com/MeetingDetail.aspx?ID=719850&GUID=5AF93ECE-B44F-4302-B1FF-0D24B4FACAEA&Options=info&Search=,https://sfgov.legistar.com/View.ashx?M=A&ID=719850&GUID=5AF93ECE-B44F-4302-B1FF-0D24B4FACAEA,https://sfgov.legistar.com/View.ashx?M=M&ID=719850&GUID=5AF93ECE-B44F-4302-B1FF-0D24B4FACAEA,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#,https://sfgov.legistar.com/#
