,Name Text,Meeting Date Text, Text,Meeting Time Text,Meeting Location Text,Meeting Details Text,Agenda Text,Minutes Text,Video Text,Name URL,Meeting Date URL, URL,Meeting Time URL,Meeting Location URL,Meeting Details URL,Agenda URL,Minutes URL,Video URL
10,Library Board,11/13/2019,,6:00 PM,"Alameda Main Library, 1550 Oak Street, Conference Room 224, Second Floor, Alameda CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22846&GUID=38C707A7-E1CF-40AD-9C35-178D022EA0D5,,https://alameda.legistar.com/View.ashx?M=IC&ID=663046&GUID=4C8663E3-3921-40E9-85A6-397848725E8E,,,,,,
11,Planning Board,11/12/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501SPECIAL MEETING DATE DUE TO HOLIDAY",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=720696&GUID=73C2FBB1-455B-4CDB-A48A-5105AF9735FD,,,,,,
12,Golf Commission,11/12/2019,,6:30 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22827&GUID=63E9AE30-DBD1-4E78-93C5-CF3EF3E15E19,,https://alameda.legistar.com/View.ashx?M=IC&ID=654009&GUID=EE7B6387-A3E1-4D8E-93D0-E0332F10DBB2,,,,,,
13,Historical Advisory Board,11/7/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22845&GUID=DC08C7A3-5B13-4A88-A1E1-58F6569DDAE4,,https://alameda.legistar.com/View.ashx?M=IC&ID=720700&GUID=4BCAA862-FA31-4411-AC4F-9E9A1C7AB556,,,,,,
14,City Council,11/5/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=734513&GUID=F3B1A6A2-ECE9-42DF-9DFC-DA7C54E70812,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=734513&GUID=F3B1A6A2-ECE9-42DF-9DFC-DA7C54E70812&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=734513&GUID=F3B1A6A2-ECE9-42DF-9DFC-DA7C54E70812,,
15,Zoning Administrator Hearing,11/4/2019,,3:00 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 391, (Behind Council Chambers) 3rd Floor, Alameda, CA 94501
Meetings held as needed on Tuesdays at 3:00 p.m.",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22841&GUID=2920FB8D-E0CC-4330-976F-BE3226841F98,,https://alameda.legistar.com/View.ashx?M=IC&ID=726999&GUID=E66E2521-C05E-4260-8A2F-6B747608CE54,,,,,,
16,Special Event Recording,10/30/2019,,6:30 PM,"City Hall, Council Chambers, 3rd Floor, 2263 Santa Clara Avenue, Alameda 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=40454&GUID=9A2E33A8-95BC-45AA-94CA-62AA8E67A9DB,,https://alameda.legistar.com/View.ashx?M=IC&ID=711619&GUID=0C304B76-B862-4B38-BC2F-A30065A8E696,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=711619&GUID=0C304B76-B862-4B38-BC2F-A30065A8E696&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=711619&GUID=0C304B76-B862-4B38-BC2F-A30065A8E696,,
17,Alameda Unified School District Board of Education,10/29/2019,,6:30 PM,"For more information on the School Board, please visit: www.alameda.k12.ca.us/boe",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=23331&GUID=CDE518A3-6EE4-4A10-AEBF-403F9A8B0BBC,,https://alameda.legistar.com/View.ashx?M=IC&ID=681610&GUID=E9E6B82E-9DFC-439E-8838-4C6FD74842E2,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=681610&GUID=E9E6B82E-9DFC-439E-8838-4C6FD74842E2&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=681610&GUID=E9E6B82E-9DFC-439E-8838-4C6FD74842E2,,
18,Planning Board,10/28/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=713480&GUID=AC64998A-3B43-4886-A430-650302678D71,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=713480&GUID=AC64998A-3B43-4886-A430-650302678D71&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=713480&GUID=AC64998A-3B43-4886-A430-650302678D71,,
19,Pension Board,10/28/2019,,4:30 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers Conference Room 391, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22828&GUID=E3F572A6-E936-4F31-9702-FAF613D7A87C,,https://alameda.legistar.com/View.ashx?M=IC&ID=683315&GUID=4488B599-D39E-43AE-8BD1-47BB45892EE0,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=683315&GUID=4488B599-D39E-43AE-8BD1-47BB45892EE0&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=683315&GUID=4488B599-D39E-43AE-8BD1-47BB45892EE0,,
20,Social Service Human Relations Board,10/24/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22829&GUID=1FFD8490-A2AC-4A04-BC20-8B921558BB9C,,https://alameda.legistar.com/View.ashx?M=IC&ID=726410&GUID=94479F1E-5D22-4197-ADFE-25D3333652D2,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=726410&GUID=94479F1E-5D22-4197-ADFE-25D3333652D2&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=726410&GUID=94479F1E-5D22-4197-ADFE-25D3333652D2,,
21,Public Art Commission,10/23/2019,,6:00 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501THIS MEETING HAS BEEN CANCELLED",Meeting details,Not available,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22848&GUID=B4281C9E-7612-4960-9A2C-0AF132ACD7CD,,https://alameda.legistar.com/View.ashx?M=IC&ID=726308&GUID=D89C6BDD-EC11-489E-8D51-E47BEE2B9663,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=726308&GUID=D89C6BDD-EC11-489E-8D51-E47BEE2B9663&Options=info&Search=,,,
22,Rent Review Advisory Committee,10/21/2019,,6:30 PM,"Independence Plaza, Ruth Rambeau Memorial
Community Room, 703 Atlantic Ave.
Alameda, CA 94501Regular Meeting
Doors open at 6:15 p.m.
For more information, please visit: www.alamedarentprogram.org",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22893&GUID=963463C1-5E9A-4218-B670-4FD90772338C,,https://alameda.legistar.com/View.ashx?M=IC&ID=726000&GUID=986E09F7-D069-4EDA-AF19-16BC68B2D2E1,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=726000&GUID=986E09F7-D069-4EDA-AF19-16BC68B2D2E1&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=726000&GUID=986E09F7-D069-4EDA-AF19-16BC68B2D2E1,,https://alameda.legistar.com/#
23,Public Utilities Board,10/21/2019,,6:00 PM,"Council Chambers, 2263 Santa Clara Ave. 3rd Floor",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22809&GUID=7257E5A5-C130-4B9A-94CF-FA61FDBCAFDA,,https://alameda.legistar.com/View.ashx?M=IC&ID=653885&GUID=7D0E51FA-8BDA-4FF5-92F9-D9C34C6EAA01,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=653885&GUID=7D0E51FA-8BDA-4FF5-92F9-D9C34C6EAA01&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=653885&GUID=7D0E51FA-8BDA-4FF5-92F9-D9C34C6EAA01,,
24,Zoning Administrator Hearing,10/21/2019,,3:00 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501
Meetings held as needed on Tuesdays at 3:00 p.m.",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22841&GUID=2920FB8D-E0CC-4330-976F-BE3226841F98,,https://alameda.legistar.com/View.ashx?M=IC&ID=656297&GUID=F3D5CC01-2F01-4DAA-B6EE-51FCB0D143CE,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=656297&GUID=F3D5CC01-2F01-4DAA-B6EE-51FCB0D143CE&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=656297&GUID=F3D5CC01-2F01-4DAA-B6EE-51FCB0D143CE,,
25,Alameda Unified School District Board of Education,10/17/2019,,6:30 PM,"For more information on the School Board, please visit: www.alameda.k12.ca.us/boe",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=23331&GUID=CDE518A3-6EE4-4A10-AEBF-403F9A8B0BBC,,https://alameda.legistar.com/View.ashx?M=IC&ID=681609&GUID=C9BB813F-A437-4FCA-AA1C-446C4F1DB16E,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=681609&GUID=C9BB813F-A437-4FCA-AA1C-446C4F1DB16E&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=681609&GUID=C9BB813F-A437-4FCA-AA1C-446C4F1DB16E,,
26,City of Alameda - AC Transit Interagency Liaison Committee (ILC),10/16/2019,,9:00 AM,"City of Alameda
City Hall
2263 Santa Clara Avenue
Conference Room 360
Alameda, CA 94501City of Alameda Representatives
Vice Mayor John Knox White
City Councilmember Tony Daysog
Mayor Marilyn Ezzy Ashcraft (Alternate)

AC Transit Representatives
Vice President Elsa Ortiz
Director H. E. Christian Peeples",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=32107&GUID=00696BD9-15CE-4365-8CE4-CEFE384FF7B0,,https://alameda.legistar.com/View.ashx?M=IC&ID=725834&GUID=B62B8B30-4E59-4FAC-9584-933460DC6B94,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=725834&GUID=B62B8B30-4E59-4FAC-9584-933460DC6B94&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=725834&GUID=B62B8B30-4E59-4FAC-9584-933460DC6B94,,
27,City Council,10/15/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda CA 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=724561&GUID=A02EA69F-A4ED-4457-B419-1CEE66165DA9,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=724561&GUID=A02EA69F-A4ED-4457-B419-1CEE66165DA9&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=724561&GUID=A02EA69F-A4ED-4457-B419-1CEE66165DA9,,https://alameda.legistar.com/#
28,Planning Board,10/14/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=713479&GUID=2FEC5258-7D8D-47DA-9833-8F113CC0D45C,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=713479&GUID=2FEC5258-7D8D-47DA-9833-8F113CC0D45C&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=713479&GUID=2FEC5258-7D8D-47DA-9833-8F113CC0D45C,,https://alameda.legistar.com/#
29,City Council,10/14/2019,,6:00 PM,"Alameda Theatre & Cineplex, 2317 Central Avenue, Alameda CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=722181&GUID=E92E9C75-3847-4D80-B9F1-27BF38CA7F7B,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=722181&GUID=E92E9C75-3847-4D80-B9F1-27BF38CA7F7B&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=722181&GUID=E92E9C75-3847-4D80-B9F1-27BF38CA7F7B,,
30,Recreation and Park Commission,10/10/2019,,7:00 PM,CANCELLED,Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22849&GUID=5395AB50-90DB-45EF-9F22-E95F52CFE78F,,https://alameda.legistar.com/View.ashx?M=IC&ID=653995&GUID=E03F8652-97EE-4430-AF05-DE426E08D55E,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=653995&GUID=E03F8652-97EE-4430-AF05-DE426E08D55E&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=653995&GUID=E03F8652-97EE-4430-AF05-DE426E08D55E,,
31,Commission on Disability,10/9/2019,,6:30 PM,"City Hall, 2263 Santa Clara Avenue, Third Floor, Room 360, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22826&GUID=5CF2D01F-6107-4711-BBA0-0F649ABFCFA2,,https://alameda.legistar.com/View.ashx?M=IC&ID=723126&GUID=63A28C82-AD03-4831-A7FE-5C3850A6140F,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=723126&GUID=63A28C82-AD03-4831-A7FE-5C3850A6140F&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=723126&GUID=63A28C82-AD03-4831-A7FE-5C3850A6140F,,
32,Recreation and Park Commission,10/8/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501SPECIAL RECREATION AND PARK COMMISSION MEETING",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22849&GUID=5395AB50-90DB-45EF-9F22-E95F52CFE78F,,https://alameda.legistar.com/View.ashx?M=IC&ID=723279&GUID=7D0D4453-521E-4B4B-90C6-5D0BC43429D8,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=723279&GUID=7D0D4453-521E-4B4B-90C6-5D0BC43429D8&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=723279&GUID=7D0D4453-521E-4B4B-90C6-5D0BC43429D8,,https://alameda.legistar.com/#
33,Open Government Commission,10/7/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22824&GUID=7D0FF088-F015-4D9D-A3F8-3F50F43889B4,,https://alameda.legistar.com/View.ashx?M=IC&ID=672186&GUID=E87726C6-7127-4FD4-9C5D-5A2D6902A880,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=672186&GUID=E87726C6-7127-4FD4-9C5D-5A2D6902A880&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=672186&GUID=E87726C6-7127-4FD4-9C5D-5A2D6902A880,,
34,Historical Advisory Board,10/3/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501THIS MEETING IS CANCELED",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22845&GUID=DC08C7A3-5B13-4A88-A1E1-58F6569DDAE4,,https://alameda.legistar.com/View.ashx?M=IC&ID=716369&GUID=36736A8B-9D98-4F9A-AE0B-E17939FBC6A6,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=716369&GUID=36736A8B-9D98-4F9A-AE0B-E17939FBC6A6&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=716369&GUID=36736A8B-9D98-4F9A-AE0B-E17939FBC6A6,,
35,Civil Service Board,10/2/2019,,5:00 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22844&GUID=DBC7BCE9-D128-44E7-A869-5EACB1435E7A,,https://alameda.legistar.com/View.ashx?M=IC&ID=722856&GUID=CF93ADD1-734E-4875-9EF0-6AF5377EFC7A,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=722856&GUID=CF93ADD1-734E-4875-9EF0-6AF5377EFC7A&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=722856&GUID=CF93ADD1-734E-4875-9EF0-6AF5377EFC7A,,
36,City Council,10/1/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda CA 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22804&GUID=974B02E1-2DF3-4F71-9ECB-C1C9758FB8C7,,https://alameda.legistar.com/View.ashx?M=IC&ID=656293&GUID=EC23EDA5-A745-4B51-A565-2A25B7B25AFC,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=656293&GUID=EC23EDA5-A745-4B51-A565-2A25B7B25AFC&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=656293&GUID=EC23EDA5-A745-4B51-A565-2A25B7B25AFC,,https://alameda.legistar.com/#
37,Social Service Human Relations Board,9/26/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22829&GUID=1FFD8490-A2AC-4A04-BC20-8B921558BB9C,,https://alameda.legistar.com/View.ashx?M=IC&ID=721779&GUID=4857F605-7DCF-4D5C-BAC0-2530462AB4F6,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=721779&GUID=4857F605-7DCF-4D5C-BAC0-2530462AB4F6&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=721779&GUID=4857F605-7DCF-4D5C-BAC0-2530462AB4F6,,
38,Transportation Commission,9/25/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22851&GUID=D59DF786-2980-4EFB-AFF0-5E6AFB83AB81,,https://alameda.legistar.com/View.ashx?M=IC&ID=722002&GUID=8C7F9A79-0425-4317-B9B5-A2BC47FCB5A6,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=722002&GUID=8C7F9A79-0425-4317-B9B5-A2BC47FCB5A6&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=722002&GUID=8C7F9A79-0425-4317-B9B5-A2BC47FCB5A6,,https://alameda.legistar.com/#
39,Public Art Commission,9/25/2019,,6:00 PM,"City Hall, 2263 Santa Clara Avenue, Conference Room 360, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22848&GUID=B4281C9E-7612-4960-9A2C-0AF132ACD7CD,,https://alameda.legistar.com/View.ashx?M=IC&ID=721777&GUID=B6FF7D1F-A4CF-4269-9A89-ADEA11EA6747,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=721777&GUID=B6FF7D1F-A4CF-4269-9A89-ADEA11EA6747&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=721777&GUID=B6FF7D1F-A4CF-4269-9A89-ADEA11EA6747,,
40,Alameda Unified School District Board of Education,9/24/2019,,6:30 PM,"For more information on the School Board, please visit: www.alameda.k12.ca.us/boe",Meeting details,Agenda,Not available,Not available,https://alameda.legistar.com/DepartmentDetail.aspx?ID=23331&GUID=CDE518A3-6EE4-4A10-AEBF-403F9A8B0BBC,,https://alameda.legistar.com/View.ashx?M=IC&ID=681608&GUID=775BFE84-D46E-446F-8F44-F5F8313DA82E,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=681608&GUID=775BFE84-D46E-446F-8F44-F5F8313DA82E&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=681608&GUID=775BFE84-D46E-446F-8F44-F5F8313DA82E,,
41,Planning Board,9/23/2019,,7:00 PM,"City Hall, 2263 Santa Clara Avenue, Council Chambers, 3rd Floor, Alameda, CA 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=22847&GUID=1AF6CEB9-C0B5-4F2F-A8CE-CA6644185A52,,https://alameda.legistar.com/View.ashx?M=IC&ID=710128&GUID=C02326E1-2A41-4DFB-BF0F-4910207B61E6,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=710128&GUID=C02326E1-2A41-4DFB-BF0F-4910207B61E6&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=710128&GUID=C02326E1-2A41-4DFB-BF0F-4910207B61E6,,https://alameda.legistar.com/#
42,Special Event Recording,9/19/2019,,6:30 PM,"City Hall, Council Chambers, 3rd Floor, 2263 Santa Clara Avenue, Alameda 94501",Meeting details,Agenda,Not available,Video,https://alameda.legistar.com/DepartmentDetail.aspx?ID=40454&GUID=9A2E33A8-95BC-45AA-94CA-62AA8E67A9DB,,https://alameda.legistar.com/View.ashx?M=IC&ID=711618&GUID=93529999-E7FA-4BA2-BAFF-FFD09C637D43,,,https://alameda.legistar.com/MeetingDetail.aspx?ID=711618&GUID=93529999-E7FA-4BA2-BAFF-FFD09C637D43&Options=info&Search=,https://alameda.legistar.com/View.ashx?M=A&ID=711618&GUID=93529999-E7FA-4BA2-BAFF-FFD09C637D43,,https://alameda.legistar.com/#
