,index,MTG_TYPE,MTG_DATETIME,MTG_LOCATION,DOC_NUM_PAGES,CALL TO ORDER,ROLL CALL,PLEDGE OF ALLEGIANCE,INVOCATION,PROCLAMATIONS,COMMUNITY PARTICIPATION FORUM,CONSENT AGENDA,ANNOUNCEMENT OF NEW EMPLOYEES AND PROMOTIONS,NEW AND PROMOTED EMPLOYEES,ANNOUNCEMENT OF NEW AND PROMOTED EMPLOYEES,INTRODUCTION OF NEW OR PROMOTED EMPLOYEES,NEW AND PROMOTED EMPLOYEES,PUBLIC HEARING,ITEMS FOR COUNCIL CONSIDERATION,CITY STAFF AND COUNCIL COMMITTEE REPORTS,POTENTIAL FUTURE CITY COUNCIL ITEMS,CLOSED SESSION,ADJOURNMENT,NOTE 1,NOTE 2
10,2,regular,2019-04-15 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Borges,Otto Behunin of the Church of Jesus Christ Latter-Day Saints,"National Sexual Assault Awareness Month, April 2019, being accepted by Cinda Trembath, Outreach/Counselor with Rape Crisis Intervention & Prevention",Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated April 1st, 2019 California Water State Revolving Fund Application",,,,,,None,"Annual Independent Financial Audit Report Swearing-in of newly appointed Councilmember, Zachary Torres",Oral Update of FEMA and Gridley Camp Fire Community Expanded Use of Eagle Meadows Park for Organized Sports CAL Fire Contract to add one Additional Firefighter Potential Cessation of Net Metering Program,,None,"adjourning to the next regularly scheduled meeting on Monday, May 6th, 2019 5/6/2019 5/6/2019 6/3/2019 6/17/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., April 12th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
11,16,regular,2019-04-01 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Mayor Johnson,Reverend Bill Hammond of the Lighthouse Tabernacle,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Council minutes dated March 18, 2019 Revision of the First Time Homebuyer Program Guidelines and Single-Family Housing Rehabilitation Program Guidelines  SB 1 Project List to California Transportation Commission for FY 19-20",,,,,,None,"Annual Independent Financial Audit Report Approve Resolution No. 2019-R-002:  A Resolution of the City Council of the City of Gridley Authorizing the City Administrator to Enter into a Two-Year Extension with Mann, Urrutia, and Nelson for Audit Service for the City of Gridley  2018-2019 Annual Adopted Budget Expenditures Increase Request Council Appointment of Partial Term Councilmember",,,None,"adjourning to the next regularly scheduled meeting on Monday, April 15th, 2019 Swearing-in of New City Councilmember Closed Session - Recruitment of Finance Director Oral Update of FEMA and Gridley Camp Fire Community Expanded Use of Eagle Meadows Park for Organized Sports CAL Fire Contract to add one Additional Firefighter Potential Cessation of Net Metering Program 4/15/2019 4/15/2019 5/6/2019 5/6/2019 6/3/2019 6/17/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 29th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
12,41,regular,2019-03-18 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Vice Mayor Williams,"Bishop Terry Hamblin, Church of Jesus Christ of Latter-Day Saints",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.   City Council minutes dated March 4, 2019 Request for Purchase of Fire Utility Vehicle Replacement",,"• Introduction of new Gridley-Biggs Police Department Lieutenant, Rodney Harr",ANNOUNCEMENT OF,,"• Introduction of new Gridley-Biggs Police Department Lieutenant, Rodney Harr",None,Approval of the Repayment of Mary’s Gone Crackers Account Overcharges Midyear Budget Review,,,"Closed session to discuss and consider recruitment and employment of public employee position, Finance Director, pursuant to Government Code 5495","adjourning to the next regularly scheduled meeting on Monday, April 1st, 2019 Approval of FY 17/18 Audit City Council selection of a new Councilmember Midyear Budget Update Swearing-in of new City Councilmember Overview of Council Review Process for Budget and CIP  4/1/2019 4/1/2019 4/1/2019 4/15/2019 4/15/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 15th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
13,45,regular,2019-03-04 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Borges,"Paul Widener, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated February 19th, 2019 Police Chief Employment Agreement Approval",,,,,,None,Approval of Appointment Process to Fill Council Vacancy,Approval of FY 17/18 Audit Fire Vehicle Purchase City Council selection of a new Councilmember Midyear Budget Update Swearing-in of new City Councilmember Overview of Council Review Process for Budget and CIP,,None,"adjourning to the next regularly scheduled meeting on Monday, March 18th, 2019 3/18/2019 3/18/2019 4/1/2019 4/1/2019 4/15/2019 4/15/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., March 1st, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
14,6,amended,2019-02-19 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Hall,"Pastor Branden Heskett, Christian Life Church of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated February 4th, 2019",,•  Swearing in of Officer Homero Rodriguez,,,•  Swearing in of Officer Homero Rodriguez,None,Council Authorization to fund Butte County Interagency Narcotics Task Force (BINTF) Participation and Assignment of two Community Service Officers   Approval of the Purchase of the Tyler Systems Integrated Financial Software System,,,"Discussion to fill Council Vacancy Approval of FY 17/18 Audit Fire Vehicle Purchase 3/4/2019 3/18/2019 3/18/2019   Government Code 54757 - Public Employee Performance Evaluation, Interim Police Chief  *Government Code 54959 – Conference with Legal Counsel concerning existing litigation – The matter of Jose Jimenez, Claim No. NCWA-55737","adjourning to the next regularly scheduled meeting on Monday, March 4th, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., February 15th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
15,30,regular,2019-02-04 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Borges,"Pastor Bill Hammond, Lighthouse Tabernacle","National Teen Dating Violence Prevention and Awareness Month, February 2019 – Accepted by Erick Garcia on behalf of Catalyst",Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items on the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.    City Council minutes dated December 28, 2018, and January 7, 2019",,,,,,None,New Financial Software Review and Discussion,,,"Government Code 54757 - Public Employee Performance Evaluation, Interim Police Chief  Approval of FY 17/18 Audit Fire Vehicle Purchase 2/19/2019 2/19/2019","adjourning to the next regularly scheduled meeting on Tuesday, February 19, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., February 1, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
16,11,regular,2019-01-07 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Johnson,Recording Secretary,Councilmember Williams,Larry Dolan of the Church of Jesus Christ of Latter-Day Saints,None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated December 17, 2018 Authorization to Auction Surplus Police Vehicle",,,,,,None,Acceptance of Lease Agreement with the United States General Services Agency (GSA) for short-term Lease of City Industrial Park,Council Committee Appointments Fire Vehicle Purchase Update on Finance Software Selection Process Approval of Selection Process for Police Chief Approval of FY 17/18 Audit,,"Government Code 54757 - Public Employee Performance Evaluation, Interim Police Chief","adjourning to the next regularly scheduled meeting on Tuesday, January 22, 2019 1/22/2019 1/22/2019 1/22/2019 2/4/2019 2/19/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., January 4th, 2019, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
17,7,special,2018-12-28 16:00:00,"Gridley Community Center, 200 E. Spruce Street, Gridley, CA 95948 ",1,Mayor Johnson,Recording Secretary,,,,,,,,,,,,Update Regarding Enhanced Law Enforcement in the Unincorporated Butte County Area Outside the City Limits – Led by Sheriff Kory Honea and Police Chief Al Byers Update Regarding Gridley School District Accommodations for Potential Modular Housing Unit Community – Led by Butte County Office of Education and Gridley Unified School District Council acceptance of the General Services Administration (GSA) Lease – Purpose of Modular Housing Units at City Owned Industrial Park,,,,"adjourning to the next regularly scheduled meeting on January 7, 2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 4:00 p.m., December 27th, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
18,25,regular,2018-12-17 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Ray Borges,"Bill Gallagher, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Item 1 of the Consent Agenda is considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated December 3, 2018 Intergovernmental Agency Agreement Between the City of Gridley and Regional Housing Authority for Housing Consultant Services",,,,,,None,Agreement with the United States General Services Agency (GSA) for short-term Lease of City Industrial Park,,Council Committee Appointments Fire Vehicle Purchase Approval of Selection Process for Police Chief Approval of FY 17/18 Audit,None,"adjourning to the next regularly scheduled meeting on January 7, 2019 1/7/2019 1/7/2019 1/21/2019 1/21/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., December 14th, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
19,35,regular,2018-12-03 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Chris Williams,"Pastor Branden Heskett, Christian Life Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 through 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated November 19, 2018 Approval of Resolution No. 2018-R-028: A Resolution of the City Council of the City of Gridley Authorizing the Finance Director to Write Off $28,4910 in Delinquent Utility Accounts from May 2017 to June 2018  Treasurer’s Report",,,,,,None,"Approval of Resolution No. 2018-R-029: A Resolution of the City Council of the City of Gridley Reciting the Fact of the General Municipal Election Held on November 6, 2018, Declaring the Results and Such Other Matters as Provided by Law Swearing in and Seating of Newly Elected City Councilmembers Council Selection of Mayor and Vice Mayor Council Appointment of Partial Term Councilmember",CITY ADMINISTRATOR UPDATE REGARDING EVACUATION CENTER,,"Government Code 54955 – Conference with Real Property Negotiators - Concerning real property of roughly 30 acres on Independence Place, more particularly described as Butte County APNs 21-270-040; 21-270-042 (partial); 21-240-027(partial)","adjourning to the next regularly scheduled meeting on December 17, 2018 Council Committee Appointments Fire Vehicle Purchase Approval of Selection Process for Police Chief Approval of FY 17/18 Audit 1/7/2019 1/7/2019 1/21/2019 1/21/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., November 30, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
20,29,regular,2018-11-19 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Vice Mayor Johnson,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Council minutes dated October 1 and 23, 2018   Approval of Resolution No. 2018-R-027: A Resolution of the City Council of the City of Gridley Authorizing the Gridley Fire Department to Receive a Volunteer Fire Assistance Grant",,,,,,None,Filling of Vacant Councilmember Seat  Gridley-Biggs Animal Control Services Agreement,,Fire Department Purchase of Standard Size Pickup Truck Declaration of Election Results/Seat New Council Council Appointment of Partial Term Councilmember Approval of Selection Process for Police Chief,None,"adjourning to the next regularly scheduled meeting on December 3, 2018 12/3/2018 12/3/2018 12/3/2018 1/21/2019","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., November 16, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
21,36,special,2018-10-23 09:30:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",1,Mayor Hall,,,,,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,,,,,,,,,,,"Government Code 54957 - Public Employee Appointment, Acting or Interim Chief of Police   Government Code 54957 - Public Employee Performance Evaluation, City Administrator","adjourning to the next regularly scheduled meeting on November 5, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 9:30 a.m., October 19, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
22,33,regular,2018-10-01 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Borges,"Bishop Ben Counihan, Church of Jesus Christ of Latter Day Saints, Liberty 1st Ward",Domestic Violence Awareness Month 2018 Proclamation,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 and 2 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Services Update  City Council minutes dated September 17, 2018",,,,,,None,Chief of Police Employment Agreement – City Council Action Item,,Police Dispatch Procedures Weed Abatement Liens 10/15/2018 10/15/2018,None,"adjourning to the next regularly scheduled meeting on October 15, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., September 28, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
23,39,regular,2018-09-17 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Councilmember Chris Williams,"Pastor Branden Heskett, Christian Life Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 through 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.      City Services Update  City Council minutes dated September 4, 2018 Approval of Resolution No. 2018-R-026:  A Resolution of the City Council of the City of Gridley Declaring a Shelter Crisis Pursuant to SB850 (Chapter 48, Statutes of 2018 and Government Code § 8692)",,,,,,None,"Contract Services Update – Curtis Johnson, Building Division Manager, Butte County Development Services Building Division",Police Dispatch Procedures Weed Abatement Liens,,None,"adjourning to the next regularly scheduled meeting on October 1, 2018 10/15/2018 10/1/2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., September 14, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
24,44,regular,2018-09-04 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Mayor Hall,"Pastor Ed Lucas, Gridley Christian Church",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 through 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.     City Services Update  City Council minutes dated August 6, 2018",,,,,,None,None,,"Weed Abatement Liens Police Dispatch Procedures Kick-off of Zero Based Budget Process 9/17/2018 9/17/2018 9/17/2018                       ***************RECOGNITION OF RETIRED EMPLOYEE, GARY DAVIDSON******************* Refreshment Break",Government Code 549595 - Conference with Legal Counsel to Discuss Anticipated Litigation – Workplace injury liability claim by Jennifer Carpenter,"adjourning to the next regularly scheduled meeting on September 17, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., August 31, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
25,15,regular,2018-08-06 18:00:00,"Gridley City Hall, 685 Kentucky Street, Gridley, CA 95948 ",2,Mayor Hall,Recording Secretary,Vice Mayor Johnson,"Pastor Brad Roberts, Calvary Chapel of Gridley",None,Members of the public may address the City Council on matters not listed on the agenda.   The City Council may not discuss nor take action on any community participation item brought forward by a member of the community.  Comments are requested to be limited to three (3) minutes.,"Items 1 through 3 of the Consent Agenda and are considered routine and acted upon by one motion. Any Council member may request that an item be removed for separate consideration. The City Council may only make minor comments; otherwise the item should be removed from the Consent Agenda and placed as the first item(s) under “Items for Council Consideration”.  City Services UpdateCity Council minutes dated July 16, 2018Approval of Resolution No. 2018-R-024:  A Resolution of the City Council of the Cityof Gridley Approving the Attestation of Veracity for the 2017 Power SourceDisclosure Report and Submission of the Report to the California Energy Commission",,,,,,None,Approval of Resolution No. 2018-R-025:  A Resolution of the City Council of the Cityof Gridley Authorizing the City Administrator to Execute a Temporary ResidentialHousing Incentive Program,,Weed Abatement Liens Police Dispatch Procedures Kick-off of Zero Based Budget Process Approve Contract to Demolish Unsafe Buildings and Corresponding Budget Adjustment 8/20/2018 8/20/2018 9/3/2018 10/1/2018,None,"adjourning to the next regularly scheduled meeting on August 20, 2018","POSTING OF AGENDA- This agenda was posted on the public bulletin board at City Hall at or before 6:00 p.m., August 3, 2018, in accordance with Government Code Section 5495 This agenda along with all attachments is available for public viewing online at www.gridley.ca.us and at the Administration counter in City Hall, 685 Kentucky Street, Gridley, CA.","REGARDING UNSCHEDULED MATTERS – In accordance with state law, it shall be the policy of this Council that no action shall be taken on any item presented during the public forum or on unscheduled matters unless the Council, by majority vote, determines that an emergency situation exists, or, unless the Council by a two-thirds vote finds that the need to take action arose subsequent to the posting of this agenda."
